NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
South Ferry,40.701730507574474,-74.01316895919258,good,good,good,good
Rector St,40.707512999521775,-74.01378300119742,good,good,good,good
Cortlandt St,40.7118350008202,-74.01218800112292,good,good,good,good
Chambers St,40.71547800011327,-74.00926600170112,good,good,good,good
Franklin St,40.719318001302135,-74.00688600277107,good,good,good,good
Canal St,40.72285399778783,-74.0062770001748,good,good,good,good
Houston St,40.728251000730204,-74.00536700180581,good,good,good,good
Christopher St-Sheridan Sq,40.73342200104225,-74.00290599855235,good,good,good,good
14 St,40.737825999728116,-74.00020100063497,good,good,good,good
18 St,40.741039999802105,-73.99787100060406,good,good,good,good
23 St,40.74408099989751,-73.9956570016487,good,good,good,good
28 St,40.74721499918219,-73.99336500134324,good,good,good,good
34 St-Penn Station,40.75037300003949,-73.99105699913983,good,good,good,good
Times Sq-42 St,40.75528999995681,-73.98749500051885,good,good,good,good
50 St,40.76172799961419,-73.98384899986625,good,good,Not working,skip
59 St-Columbus Circle,40.76824700063689,-73.98192900232715,good,good,Not working,skip
66 St-Lincoln Ctr,40.77344000052039,-73.98220899995783,good,good,Not working,skip
72 St,40.77845300068614,-73.98197000159583,good,good,good,good
79 St,40.78393399959032,-73.97991700056134,good,good,Not working,skip
86 St,40.78864400073892,-73.97621799859327,good,good,Not working,skip
96 St,40.79391900121471,-73.97232299915696,good,good,good,good
103 St,40.799446000334825,-73.96837899960818,good,good,good,good
Cathedral Pkwy (110 St),40.80396699961484,-73.9668470005456,good,good,good,good
116 St-Columbia University,40.807722001230864,-73.96410999757751,good,good,good,good
125 St,40.815580999978934,-73.95837200097044,good,good,good,good
137 St-City College,40.82200799968475,-73.95367600087873,good,good,good,good
145 St,40.82655099962194,-73.95035999879713,good,good,good,good
157 St,40.8340410001399,-73.94488999901047,good,good,good,good
168 St,40.840555999148535,-73.94013299907257,good,good,good,good
181 St,40.84950499974065,-73.9335959996056,good,good,good,good
191 St,40.85522500175836,-73.92941199742039,good,good,good,good
Dyckman St,40.86053100138796,-73.92553600006474,good,good,good,good
207 St,40.864614000525854,-73.91881900132312,good,good,good,good
215 St,40.86944399946045,-73.91527899954356,good,good,good,good
Marble Hill-225 St,40.87456099941789,-73.90983099923551,good,good,good,good
231 St,40.87885599817935,-73.90483400107873,good,good,good,good
238 St,40.88466700064975,-73.90087000018522,good,good,good,good
Van Cortlandt Park-242 St,40.88924800011476,-73.89858300049647,good,good,good,good
