NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Brooklyn Bridge-City Hall,40.713064999433136,-74.0041310005885,good,good,good,good
Canal St,40.71880300107709,-74.00019299927328,good,good,good,good
Spring St,40.72230099999366,-73.99714100006673,good,good,good,good
Bleecker St,40.72591466682659,-73.99465900006331,good,good,good,good
Astor Pl,40.73005400028978,-73.99106999861966,good,good,good,good
Union Sq-14 St,40.734673000996125,-73.98995099881881,good,good,good,good
23 St,40.739864000474604,-73.98659900207888,good,good,good,good
28 St,40.743069999259035,-73.98426400110407,good,good,good,good
33 St,40.74608099909145,-73.98207600148947,good,good,good,good
Grand Central-42 St,40.75180742981634,-73.9767132992584,good,good,good,good
51 St,40.75710699989316,-73.97192000069982,good,good,good,good
Lexington Av-59 St,40.762526000304575,-73.9679670004732,good,good,good,good
68 St-Hunter College,40.76814100049679,-73.96387000158042,good,good,good,good
77 St,40.77362000074615,-73.95987399886047,good,good,good,good
86 St,40.77949199820952,-73.95558899985132,good,good,good,good
96 St,40.78567199998607,-73.9510700015425,good,good,good,good
103 St,40.79060000008452,-73.94747800152219,good,good,good,good
110 St,40.795020000113105,-73.94424999687163,good,good,good,good
116 St,40.7986290002001,-73.9416169983714,good,good,good,good
125 St,40.804138000587244,-73.93759400055725,good,good,good,good
3 Av-138 St,40.81047600117261,-73.92613800014134,good,good,good,good
Hunts Point Av,40.82094799852307,-73.89054900017344,good,good,good,good
Parkchester,40.83322599927859,-73.86081600108396,good,good,good,good
Castle Hill Av,40.83425499825462,-73.85122199961472,good,good,good,good
Zerega Av,40.836488000608156,-73.8470359987544,good,good,good,good
Westchester Sq-E Tremont Av,40.839892001013915,-73.84295199925012,good,good,good,good
Middletown Rd,40.84386300128381,-73.83632199755944,good,good,good,good
Buhre Av,40.846809998885504,-73.83256900003744,good,good,good,good
Pelham Bay Park,40.85246199951662,-73.82812100059289,good,good,good,good
