NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Euclid Av,40.675376998239365,-73.87210600099675,good,good,good,good
Shepherd Av,40.6741300014559,-73.88074999747269,good,good,good,good
Van Siclen Av,40.67270999906104,-73.8903580002471,good,good,good,good
Liberty Av,40.67454199987086,-73.89654800103929,good,good,good,good
Broadway Junction,40.67833366608023,-73.90531600055341,good,good,good,good
Rockaway Av,40.678339999883505,-73.91194599726617,good,good,good,good
Ralph Av,40.678822000873375,-73.92078599933306,good,good,good,good
Utica Av,40.67936399950546,-73.93072899914027,good,good,good,good
Kingston-Throop Avs,40.67991899941601,-73.94085899871263,good,good,good,good
Nostrand Av,40.68043800006226,-73.95042600099683,good,good,good,good
Franklin Av,40.68137966658742,-73.95684800014614,good,good,good,good
Clinton-Washington Avs,40.68326299912644,-73.96583799857275,good,good,good,good
Lafayette Av,40.68611300020567,-73.97394599849406,good,good,good,good
Hoyt-Schermerhorn Sts,40.68840847580642,-73.98503624034139,good,good,good,good
Jay St-MetroTech,40.692470636847084,-73.98721815267317,good,good,good,good
High St,40.69933699977884,-73.99053100065458,good,good,good,good
Fulton St,40.71016216530185,-74.00762309323994,good,good,good,good
Chambers St,40.714111000774025,-74.00858473570133,good,good,good,good
Canal St-Holland Tunnel,40.72082400007119,-74.0052290023424,good,good,good,good
Spring St,40.72622700129312,-74.00373899843763,good,good,good,good
W 4 St-Washington Sq (Upper),40.73233799774325,-74.00049500225435,good,good,good,good
14 St,40.740893000193296,-74.00168999937027,good,good,good,good
23 St,40.74590599939995,-73.99804100117201,good,good,good,good
34 St-Penn Station,40.752287000775894,-73.99339099970578,good,good,good,good
42 St-Port Authority Bus Term,40.757307998551504,-73.98973500085859,good,good,good,good
50 St,40.76245599925997,-73.98598400026407,good,good,good,good
59 St-Columbus Circle,40.768249531776064,-73.98164872301398,good,good,good,good
72 St,40.77551939729258,-73.976336575218,good,good,good,good
81 St,40.78134608418206,-73.97209794937208,good,good,good,good
86 St,40.78582304678557,-73.96882849429672,good,good,good,good
96 St,40.79161879767014,-73.96460245687166,good,good,good,good
103 St,40.796060739904526,-73.96137008267617,good,good,good,good
Cathedral Pkwy (110 St),40.800581558114956,-73.95806670661364,good,good,good,good
116 St,40.80505813344211,-73.95479778057312,good,good,good,good
125 St,40.811071672994565,-73.95224799734774,good,good,good,good
135 St,40.817905559212676,-73.94753480879213,good,good,good,good
145 St,40.824766360871905,-73.94408792823116,good,good,good,good
155 St,40.83051799929251,-73.94151400082208,good,good,good,good
163 St-Amsterdam Av,40.83601299923096,-73.93989200188344,good,good,good,good
168 St,40.84071899990795,-73.93956099985425,good,good,good,good
