NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Norwood-205 St,40.87481100011182,-73.87885499918691,good,good,good,good
Bedford Park Blvd,40.87324399861646,-73.88713799889574,good,good,good,good
Kingsbridge Rd,40.86697799999945,-73.8935090000331,good,good,good,good
Fordham Rd,40.861295998683495,-73.89774900102401,good,good,good,good
182-183 Sts,40.85609299881864,-73.90074099998965,good,good,Not working,skip
Tremont Av,40.850409999510234,-73.90522700122354,good,good,good,good
174-175 Sts,40.84589999983414,-73.91013600050078,good,good,Not working,skip
170 St,40.83930599964156,-73.91339999846983,good,good,Not working,skip
167 St,40.83376899862797,-73.91843200082253,good,good,good,good
161 St-Yankee Stadium,40.827904998845845,-73.92565099775477,good,good,good,good
155 St,40.8301349999812,-73.93820899811622,good,good,good,good
145 St,40.824766360871905,-73.94408792823116,good,good,good,good
125 St,40.811071672994565,-73.95224799734774,good,good,good,good
59 St-Columbus Circle,40.768249531776064,-73.98164872301398,Not working,no train,Not working,no train
7 Av,40.76297015245628,-73.98169782344476,Not working,no train,Not working,no train
47-50 Sts-Rockefeller Ctr,40.75864100159815,-73.98133100227702,Not working,no train,Not working,no train
42 St-Bryant Pk,40.754184001312545,-73.98459099904711,Not working,no train,Not working,no train
Herald Sq-34 St,40.74978939990011,-73.98777189072918,Not working,no train,Not working,no train
W 4 St-Washington Sq (Lower),40.732254493367876,-74.00030814755975,Not working,no train,Not working,no train
Broadway-Lafayette St,40.725296998738045,-73.99620399876055,Not working,no train,Not working,no train
Grand St,40.71826699954992,-73.99375299913589,Not working,no train,Not working,no train
DeKalb Av,40.690648119969794,-73.98177094440949,Not working,no train,Not working,no train
Atlantic Av-Barclay's Center,40.683665667279435,-73.97880999956767,Not working,no train,Not working,no train
Union St,40.67731566735096,-73.98310999909673,Not working,no train,Not working,no train
4 Av-9 St,40.670846666842756,-73.98830199974512,Not working,no train,Not working,no train
Prospect Av,40.66541366712979,-73.99287200067424,Not working,no train,Not working,no train
25 St,40.66039666692321,-73.99809099974297,Not working,no train,Not working,no train
36 St,40.65514366633887,-74.00354899951809,Not working,no train,Not working,no train
9 Av,40.64648407726636,-73.99444874451204,Not working,no train,Not working,no train
Ft Hamilton Pkwy,40.640912711444656,-73.9942022375285,Not working,no train,Not working,no train
50 St,40.636260890961395,-73.9946587805514,Not working,no train,Not working,no train
55 St,40.63147876093745,-73.99534882595742,Not working,no train,Not working,no train
62 St,40.626224462922195,-73.99685724994863,Not working,no train,Not working,no train
71 St,40.61925870977273,-73.99884094850685,Not working,no train,Not working,no train
79 St,40.61315892569516,-74.00058287431507,Not working,no train,Not working,no train
18 Av,40.60773573171741,-74.00159259239406,Not working,no train,Not working,no train
20 Av,40.60467699816932,-73.99817432157568,Not working,no train,Not working,no train
Bay Pkwy,40.601950461572315,-73.9936762000529,Not working,no train,Not working,no train
25 Av,40.59770366695856,-73.98682900011477,Not working,no train,Not working,no train
Bay 50 St,40.58884066651933,-73.98376500045946,Not working,no train,Not working,no train
Coney Island-Stillwell Av,40.57728100006751,-73.9812359981396,good,good,good,good
