NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Jamaica-179 St,40.712645666744045,-73.78381700176453,good,good,good,good
169 St,40.710517502784,-73.79347419927721,good,good,good,good
Parsons Blvd,40.707571999615695,-73.80328900021885,good,good,good,good
Sutphin Blvd,40.70541799906764,-73.81083299897232,good,good,good,good
Briarwood-Van Wyck Blvd,40.70916181536946,-73.82069263637443,good,good,good,good
Kew Gardens-Union Tpke,40.714034819571026,-73.8303702709878,good,good,good,good
75 Av,40.71804465348743,-73.83692369387158,good,good,good,good
Forest Hills-71 Av,40.72159430953587,-73.84451672012669,good,good,good,good
Jackson Hts-Roosevelt Av,40.74653969115889,-73.89129866519697,good,good,good,good
21 St-Queensbridge,40.75373927087553,-73.94193761457447,good,good,good,good
Roosevelt Island-Main St,40.75917199967108,-73.95323499978866,good,good,good,good
Lexington Av-63 St,40.76461809442373,-73.96608964413245,good,good,good,good
57 St,40.76408500081713,-73.97736800085171,good,good,good,good
47-50 Sts-Rockefeller Ctr,40.75864100159815,-73.98133100227702,good,good,good,good
42 St-Bryant Pk,40.754184001312545,-73.98459099904711,good,good,good,good
Herald Sq-34 St,40.74978939990011,-73.98777189072918,good,good,good,good
23 St,40.742954317826005,-73.99276500471389,good,good,good,good
14 St,40.73822799969515,-73.99620899921355,good,good,good,good
W 4 St-Washington Sq (Lower),40.732254493367876,-74.00030814755975,good,good,good,good
Broadway-Lafayette St,40.725296998738045,-73.99620399876055,good,good,good,good
Lower East Side-2 Av,40.72340166574911,-73.98993800003434,good,good,good,good
Delancey St-Essex St,40.71868074219453,-73.98807806807719,good,good,good,good
East Broadway,40.713855001020406,-73.99017700122197,good,good,good,good
York St,40.699742667691574,-73.98688499993673,good,good,good,good
Jay St-MetroTech,40.692470636847084,-73.98721815267317,good,good,good,good
Bergen St,40.68611054725977,-73.99075649573565,good,good,good,good
Carroll St,40.68027335170176,-73.99494697998841,good,good,good,good
Smith-9 Sts,40.67364106090412,-73.99589172790934,good,good,good,good
4 Av-9 St,40.67027166728493,-73.98977899938897,good,good,good,good
7 Av,40.66624469001985,-73.98025117900944,good,good,good,good
15 St-Prospect Park,40.66003568810021,-73.97973580592873,good,good,good,good
Ft Hamilton Pkwy,40.65078166803418,-73.97577599917474,good,good,Not working,skip
Church Av,40.64427200012998,-73.97972116229084,good,good,good,good
Ditmas Av,40.63611866666291,-73.97817199965161,good,good,good,good
18 Av,40.62975466638584,-73.97697099965796,good,good,good,good
Avenue I,40.62501744019143,-73.97606933170925,good,good,Not working,platform closed
Bay Pkwy,40.62073162316788,-73.9752569782215,good,good,Not working,platform closed
Avenue N,40.61435671190883,-73.97404850873143,good,good,Not working,platform closed
Avenue P,40.608842808949916,-73.97300281528751,good,good,Not working,platform closed
Kings Hwy,40.603258405128265,-73.9723553085244,good,good,Not working,good
Avenue U,40.59592482551748,-73.97337641974885,good,good,Not working,platform closed
Avenue X,40.589449666625285,-73.97426599968905,good,good,good,good
Neptune Av,40.580738758491464,-73.97459272818807,good,good,good,good
W 8 St-NY Aquarium,40.576033818103646,-73.97595787413822,good,good,good,good
Coney Island-Stillwell Av,40.57728100006751,-73.9812359981396,good,good,good,good
