NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Jamaica Ctr-Parsons / Archer,40.70206737621188,-73.80109632298924,good,good,good,good
Sutphin Blvd-Archer Av,40.700382424235,-73.80800471963833,good,good,good,good
121 St,40.700481998515315,-73.82834900017954,good,good,good,good
111 St,40.697114810696476,-73.83679338454697,good,good,good,good
104-102 Sts,40.69516599823373,-73.84443500029684,good,good,good,good
Woodhaven Blvd,40.69370399880105,-73.85205199740794,good,good,good,good
85 St-Forest Pkwy,40.69242699966103,-73.86008700006875,good,good,good,good
75 St-Eldert Ln,40.691290001246735,-73.86728799944963,good,good,good,good
Cypress Hills,40.689616000838754,-73.87332199882995,good,good,good,good
Crescent St,40.68315265707736,-73.87392925215778,good,good,good,good
Norwood Av,40.68152000045683,-73.87962599910783,good,good,good,good
Cleveland St,40.679777998961164,-73.8851940021643,good,good,good,good
Van Siclen Av,40.67802821447783,-73.89165772702445,good,good,good,good
Alabama Av,40.676998000003756,-73.89852600159652,good,good,good,good
Broadway Junction,40.67936600147369,-73.90428999746412,good,good,good,good
Chauncey St,40.68285130087804,-73.91038357033376,good,good,good,good
Halsey St,40.686415270704344,-73.9166388842194,good,good,good,good
Gates Av,40.689583999013905,-73.92215600150752,good,good,good,good
Kosciuszko St,40.69317200129202,-73.92850899927413,good,good,good,good
Myrtle Av,40.6971950005145,-73.9356230012996,good,good,good,good
Flushing Av,40.70040440298112,-73.94137734838365,good,good,good,good
Lorimer St,40.703844000042096,-73.94735499884204,good,good,good,good
Hewes St,40.706889998054,-73.95348800038457,Not working,no train,Not working,no train
Marcy Av,40.708383000017925,-73.95783200075729,Not working,no train,Not working,no train
Delancey St-Essex St,40.71830605618619,-73.98740940202974,Not working,no train,Not working,no train
Bowery,40.720246883147254,-73.99380690654237,Not working,no train,Not working,no train
Canal St,40.71817387697391,-73.99982638545937,Not working,no train,Not working,no train
Chambers St,40.71323378962671,-74.00340673031336,Not working,no train,Not working,no train
Fulton St,40.71002266658424,-74.00793800110387,Not working,no train,Not working,no train
Broad St,40.706476001106005,-74.01105599991755,good,good,good,good
