NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
8 Av,40.73977666638199,-74.00257800104762,good,good,good,good
6 Av,40.73774146981052,-73.99775078874781,good,good,good,good
Union Sq-14 St,40.73476331217923,-73.99066976901818,good,good,good,good
3 Av,40.73269099971662,-73.98575000112093,good,good,good,good
1 Av,40.73097497580066,-73.98168087489128,good,good,good,good
Bedford Av,40.71717399858899,-73.95666499806525,good,good,good,good
Lorimer St,40.71407200064717,-73.95024799996972,good,good,good,good
Graham Av,40.714575998363635,-73.94394399869037,good,good,good,good
Grand St,40.71157600064823,-73.94049699874644,good,good,good,good
Montrose Av,40.70739106438455,-73.93979284713505,good,good,good,good
Morgan Av,40.70615166680729,-73.93314700024209,good,good,good,good
Jefferson St,40.706606665988716,-73.9229130000312,good,good,good,good
DeKalb Av,40.70369299961644,-73.91823200219723,good,good,good,good
Myrtle-Wyckoff Avs,40.699471062427136,-73.9109757182647,good,good,good,good
Halsey St,40.69551800114878,-73.90393400118631,good,good,good,good
Wilson Av,40.68886654246024,-73.90395860491864,good,good,good,good
Bushwick-Aberdeen,40.68286062551184,-73.90526176305106,good,good,good,good
Broadway Junction,40.67845624842869,-73.90311757920684,good,good,good,good
Atlantic Av,40.67534466640805,-73.9030969995401,good,good,good,good
Sutter Av,40.66914500061398,-73.9019160004208,good,good,good,good
Livonia Av,40.66405727094644,-73.90056237226057,good,good,good,good
New Lots Av,40.65891477368527,-73.89927796057142,good,good,good,good
E 105 St,40.65046878544699,-73.89954769388724,good,good,good,good
Canarsie-Rockaway Pkwy,40.64665366739528,-73.90185000017287,good,good,good,good
