NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
96 St,40.784236650177654,-73.9470660219183,good,good,good,good
86 St,40.77786104333163,-73.95177090964917,good,good,good,good
72 St,40.76880251014895,-73.95836178682246,good,good,good,good
Lexington Av-63 St,40.76461809442373,-73.96608964413245,good,good,good,good
57 St,40.76456552501829,-73.98072973372128,good,good,good,good
49 St,40.759801973870694,-73.98420956591096,good,good,good,good
Times Sq-42 St,40.75461199851542,-73.98676800153976,good,good,good,good
Herald Sq-34 St,40.74964456009442,-73.9879368338264,good,good,good,good
28 St,40.74545399979951,-73.98869800128737,good,good,good,good
23 St,40.74130266729,-73.98934400102907,good,good,good,good
Union Sq-14 St,40.73587226699812,-73.99053886181645,good,good,good,good
8 St-NYU,40.73046499853991,-73.99250799849149,good,good,good,good
Prince St,40.72432866597571,-73.99770200045987,good,good,good,good
Canal St,40.718814263587134,-74.00105471306033,good,good,good,good
DeKalb Av,40.690648119969794,-73.98177094440949,good,good,good,good
Atlantic Av-Barclay's Center,40.683665667279435,-73.97880999956767,good,good,good,good
Atlantic Av-Barclay's Center,40.684488323453685,-73.97678343963167,good,good,good,good
7 Av,40.67710217983294,-73.97285279191024,good,good,good,good
Prospect Park,40.6616334551018,-73.96203130426609,good,good,change,run express
Parkside Av,40.65507304163716,-73.96145343987648,good,good,change,run express
Church Av,40.65049324646484,-73.96288246192114,good,good,change,run express
Beverly Rd,40.64390459860419,-73.96435779623125,good,good,change,run express
Cortelyou Rd,40.6409401651401,-73.96379005505493,good,good,change,run express
Newkirk Av,40.63514193733789,-73.96269486837261,good,good,change,run express
Avenue H,40.62920837758969,-73.96151793942495,good,good,change,run express
Avenue J,40.625022819915166,-73.96069316246925,good,good,change,run express
Avenue M,40.617397744443736,-73.9592431052215,good,good,change,run express
Kings Hwy,40.608638645396006,-73.95760873538083,good,good,change,run express
Avenue U,40.59930895095475,-73.95581122316301,good,good,change,run express
Neck Rd,40.59532169111695,-73.95507827493762,good,good,change,run express
Sheepshead Bay,40.58654754707536,-73.95405791257907,good,good,good,good
Brighton Beach,40.577710196642435,-73.96135378598797,good,good,good,good
Ocean Pkwy,40.57631166708091,-73.96850099975177,good,good,good,good
W 8 St-NY Aquarium,40.576033818103646,-73.97595787413822,good,good,good,good
Coney Island-Stillwell Av,40.57728100006751,-73.9812359981396,good,good,good,good
