NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Forest Hills-71 Av,40.72159430953587,-73.84451672012669,good,good,good,good
67 Av,40.726505475813006,-73.85286048434907,good,good,good,good
63 Dr-Rego Park,40.729763972422425,-73.86161820097203,good,good,good,good
Woodhaven Blvd-Queens Mall,40.73309737380972,-73.86943208612348,good,good,good,good
Grand Av-Newtown,40.736813418197144,-73.87722085669182,good,good,good,good
Elmhurst Av,40.74237007972169,-73.8820347465864,good,good,good,good
Jackson Hts-Roosevelt Av,40.74653969115889,-73.89129866519697,good,good,good,good
65 St,40.74971952935675,-73.8987883783301,good,good,good,good
Northern Blvd,40.752824829236076,-73.90606508052358,good,good,good,good
46 St,40.756316952608096,-73.91352174995538,good,good,good,good
Steinway St,40.75698735912575,-73.9205264716827,good,good,good,good
36 St,40.75196004401078,-73.92901818461539,good,good,good,good
Queens Plz,40.74891771986323,-73.93713823965695,good,good,good,good
Lexington Av-59 St,40.762708855394564,-73.96737501711436,good,good,good,good
5 Av-59 St,40.764810999755284,-73.97334700047045,good,good,good,good
57 St,40.76456552501829,-73.98072973372128,good,good,good,good
49 St,40.759801973870694,-73.98420956591096,good,good,good,good
Times Sq-42 St,40.75461199851542,-73.98676800153976,good,good,good,good
Herald Sq-34 St,40.74964456009442,-73.9879368338264,good,good,good,good
28 St,40.74545399979951,-73.98869800128737,good,good,good,good
23 St,40.74130266729,-73.98934400102907,good,good,good,good
Union Sq-14 St,40.73587226699812,-73.99053886181645,good,good,good,good
8 St-NYU,40.73046499853991,-73.99250799849149,good,good,good,good
Prince St,40.72432866597571,-73.99770200045987,good,good,good,good
Canal St,40.71946500105898,-74.0018260000577,good,good,good,good
City Hall,40.71327233111697,-74.00698581780337,good,good,good,good
Cortlandt St,40.7105129841524,-74.01113196473266,good,good,good,good
Rector St,40.707744756294474,-74.01297456253795,good,good,good,good
Whitehall St,40.703142373599135,-74.0130072374272,good,good,good,good
Court St,40.694196480776995,-73.99181830901125,good,good,good,good
Jay St-MetroTech,40.69225539645323,-73.98605667854612,good,good,good,good
DeKalb Av,40.690648119969794,-73.98177094440949,good,good,good,good
Atlantic Av-Barclay's Center,40.683665667279435,-73.97880999956767,good,good,good,good
Union St,40.67731566735096,-73.98310999909673,Not working,skip,Not working,skip
4 Av-9 St,40.670846666842756,-73.98830199974512,Not working,skip,Not working,skip
Prospect Av,40.66541366712979,-73.99287200067424,Not working,skip,Not working,skip
25 St,40.66039666692321,-73.99809099974297,Not working,skip,Not working,skip
36 St,40.65514366633887,-74.00354899951809,good,good,good,good
45 St,40.648938666612814,-74.01000600074939,good,good,good,good
53 St,40.64506866735981,-74.01403399986317,good,good,good,good
59 St,40.6413616662838,-74.01788099953987,good,good,good,good
Bay Ridge Av,40.63496666682377,-74.02337699950728,good,good,good,good
77 St,40.629741666886915,-74.0255099996266,good,good,good,good
86 St,40.62268666715025,-74.0283979999864,good,good,good,good
Bay Ridge-95 St,40.61662166725951,-74.03087600085765,good,good,good,good
