NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
34 St-Hudson Yards,40.75544635961596,-74.00219709442206,good,good,good,good
Times Sq-42 St,40.755477001982506,-73.98769099825152,good,good,good,good
5 Av-Bryant Pk,40.75382100064824,-73.98196299856706,good,good,good,good
Grand Central-42 St,40.751431000286864,-73.97604100111508,good,good,good,good
Vernon Blvd-Jackson Av,40.74262599969749,-73.95358099875249,good,good,good,good
Hunters Point Av,40.74221599986316,-73.9489160009391,good,good,good,good
Court Sq,40.74702299889643,-73.94526400039679,good,good,good,good
Queensboro Plz,40.750635651014804,-73.9401635351909,good,good,good,good
Woodside-61 St,40.745630001138395,-73.90298400173006,good,good,good,good
Junction Blvd,40.74914499948836,-73.86952700103515,good,good,good,good
Mets-Willets Point,40.75462199881262,-73.8456249984179,good,good,good,good
Flushing-Main St,40.75959999915012,-73.83003000262508,good,good,good,good
