NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Times Sq-42 St,40.755983000570076,-73.98622899953202,good,good,good,good
Grand Central-42 St,40.75276866674217,-73.97918899989101,good,good,good,good
Franklin Av-Fulton St,40.68059566598263,-73.95582700110425,good,good,good,good
Park Pl,40.67477166685263,-73.95762400074634,good,good,good,good
Botanic Garden,40.670342666584396,-73.95924499945693,good,good,good,good
Prospect Park,40.6616334551018,-73.96203130426609,good,good,good,good
Euclid Av,40.675376998239365,-73.87210600099675,good,good,good,good
Grant Av,40.67704400054478,-73.86504999877702,good,good,good,good
80 St,40.67937100115432,-73.85899200206335,good,good,good,good
88 St,40.67984300135503,-73.85147000026086,good,good,good,good
Rockaway Blvd,40.680428999588415,-73.8438529979573,good,good,good,good
104 St,40.681711001091195,-73.83768300060997,good,good,good,good
111 St,40.68433100001238,-73.83216299845388,good,good,good,good
Ozone Park-Lefferts Blvd,40.68595099878361,-73.82579799906613,good,good,good,good
Broad Channel,40.60840218069683,-73.81583268782963,good,good,good,good
Beach 90 St,40.58809156457325,-73.81365140419632,good,good,good,good
Beach 98 St,40.58538569133279,-73.82052058959523,good,good,good,good
Beach 105 St,40.58326843810286,-73.82758075034528,good,good,good,good
Rockaway Park-Beach 116 St,40.580955865573515,-73.83559008701239,good,good,good,good
